w	t	b_mse	bp_mse	bp_rs_mse	b_relerror	bp_relerror	bp_rs_relerror	b_bias	bp_bias	bp_rs_bias
1e-10	1e-06	0.01104978252509523	0.001966543910917	0.001966543975939793	0.05570883194462485	0.03600745239804372	0.001966543975939793	-0.026432901219538462	0.0028734350026286427	0.0028734408858997447
1e-10	3.16e-06	0.005253068526321264	0.0020737554463454394	0.002073754533500521	0.04614768334847593	0.036060303461752895	0.002073754533500521	-0.019843870038276288	-0.0023109146305130015	-0.002310856117331414
1e-10	1e-05	0.00281659423556387	0.0019682190707288215	0.001968220439153424	0.03899889542442304	0.0353098055869774	0.001968220439153424	-0.010878236502756083	-0.00012918720640070264	-0.00012860877662620738
1e-10	3.16e-05	0.0025866614255091423	0.002218101596590876	0.0022178952539959555	0.03936357682934271	0.037440569367676486	0.0022178952539959555	-0.009135173254815658	-0.0020616039533386346	-0.002056059983350206
1e-10	0.0001	0.002129652924998144	0.0020048734984859005	0.002004067598095075	0.036876452080787575	0.03582191000392955	0.002004067598095075	-0.005722290524100358	-0.0010401091869190592	-0.0009915974448049347
1e-10	0.000316	0.0018611446795025652	0.0018301331620770634	0.0018286308404331147	0.03399079732394245	0.03383344802431176	0.0018286308404331147	-0.00411650838846213	-0.0015572208143059855	-0.0012550377607146203
1e-10	0.001	0.0022737562686683498	0.002282201933958138	0.00230126612141012	0.03881559727192837	0.03888368346341459	0.00230126612141012	0.004077643231472733	0.0044361003128967885	0.0049391172314985875
1e-10	0.00316	0.0020505132181422637	0.0020505143982236657	0.0020505752568321677	0.03600663413528142	0.03600660369072641	0.0020505752568321677	0.00047748833297927244	0.00047689194295429804	0.0004948979478154245
1e-10	0.01	0.0019379863921118467	0.0019379842493506758	0.0019379684405370797	0.035207834443046135	0.03520777684346017	0.0019379684405370797	0.00268841495510351	0.002687944050560928	0.0026879394618252693
1e-10	0.0316	0.001996942042122824	0.0019969331832438045	0.00199692847508762	0.03579134137058947	0.03579117991082142	0.00199692847508762	0.0038440654730572494	0.0038431801376204943	0.003843416680436208
1e-10	0.1	0.0018742459800453728	0.001874238307630933	0.0018742401214897034	0.034427577317324994	0.0344273919966164	0.0018742401214897034	0.0005030259072722763	0.0005005399230752031	0.0005006482045214188
3.16e-10	1e-06	0.035794250689694065	0.002111754787584768	0.002111754339709232	0.08742421283479936	0.03696983919116078	0.002111754339709232	-0.06960716947326007	-0.0028840200824093378	-0.002884001491273618
3.16e-10	3.16e-06	0.01736096879461486	0.00212232247477102	0.002122317051248485	0.06851080351204776	0.03649272743728611	0.002122317051248485	-0.050168874876653335	-0.0033678256340258	-0.0033676407324573997
3.16e-10	1e-05	0.0060853394849371065	0.001956907975513161	0.0019569866537835798	0.0496810249087368	0.03590552559506438	0.0019569866537835798	-0.027217637051245507	0.004471915263682851	0.004473743093328008
3.16e-10	3.16e-05	0.003545173005228818	0.0022488075264107954	0.002249445355818541	0.04353230681202362	0.03805602815451275	0.002249445355818541	-0.019456446970687744	0.00225790050701155	0.0022754186679691496
3.16e-10	0.0001	0.002556001439736424	0.00199354587563792	0.001994667073801225	0.03958932926566213	0.03559287376281243	0.001994667073801225	-0.01391410154114371	0.0006578962491974348	0.0008111295454076612
3.16e-10	0.000316	0.0022580057227742003	0.002067339433363396	0.00206441378850746	0.03765846279908232	0.0364825796249423	0.00206441378850746	-0.008518962567195653	-0.0005151106595435436	0.00043699107024831413
3.16e-10	0.001	0.00203186482043113	0.0019974642686757826	0.001941006068259501	0.03590890095352853	0.035655913772720295	0.001941006068259501	-0.006311249852264025	-0.0051891058323250685	-0.0036148757804249578
3.16e-10	0.00316	0.0021481675157216874	0.0021481872180751124	0.002148086432885757	0.03708113491629016	0.03708115440681954	0.002148086432885757	-0.0016220336665941422	-0.0016239117085990078	-0.0015676764513015565
3.16e-10	0.01	0.0019641152088761475	0.0019641137643419014	0.001964204235922502	0.035616856734634515	0.03561678596318142	0.001964204235922502	0.0013142184250196929	0.0013127339169724927	0.0013127165655529905
3.16e-10	0.0316	0.0020879855936842408	0.002087983650609312	0.0020879832869668633	0.037006292776644766	0.03700608274036207	0.0020879832869668633	0.0021984782769036656	0.0021956851637192952	0.0021964299182318384
3.16e-10	0.1	0.001871080865573611	0.001871043451081307	0.0018710354082234859	0.03458124190820298	0.034580304620668294	0.0018710354082234859	0.0007632909748885902	0.0007554469656468839	0.0007557883803618201
1e-09	1e-06	0.07190743780713979	0.0019606795087021185	0.001960680171566697	0.1455872610280148	0.0351283845155793	0.001960680171566697	-0.13188701476897893	0.0012206707007308966	0.0012207295334306996
1e-09	3.16e-06	0.05047466917898822	0.002018280541493965	0.002018288203113934	0.12316501928412653	0.03593201980081604	0.002018288203113934	-0.10948355607261663	0.0017954110503751453	0.0017959961810496466
1e-09	1e-05	0.026687479936939956	0.0019752666012636494	0.0019753743353608843	0.09602056392789922	0.035699598298678005	0.0019753743353608843	-0.08151864310576933	0.003895717104824351	0.0039015012909821944
1e-09	3.16e-05	0.016573779211454913	0.0022398380192592757	0.0022377362090562386	0.07909968302258945	0.03749417395617531	0.0022377362090562386	-0.06649839376924917	-0.0032905634884200096	-0.003235134134505844
1e-09	0.0001	0.0073270335318997674	0.0021207709421885014	0.0021241554281666197	0.06031056287550675	0.03654184980354969	0.0021241554281666197	-0.04501245280618159	-0.0010000608041232039	-0.0005157883057796986
1e-09	0.000316	0.004165484704087405	0.0020678119817173777	0.002012221156598892	0.048033329732665775	0.035812647021388117	0.002012221156598892	-0.030452233103927674	-0.005929219281567965	-0.0029440496470144978
